Japanese,English
そのリンゴは大きい。,That apple is big.
この手紙を書き終えるまで待っていてください。,Please wait until I have finished writing this letter.
ページの下に書いてある注意事項に目を通してください。,Read the note at the bottom of the page.
ボランティア活動してるの？,Are you volunteering?
１インチを与えると１ヤードを取ろうとする。,Give him an inch and he will take a yard.
トムはよくしゃべる。,Tom talks a lot.
とても感動したわ。,I was moved.
それについて放課後話しましょう。,Let's talk about it after school.
殺人犯は有罪判決を受けて終身刑に処せられた。,The murderer was convicted and sentenced to life in prison.
面白い話だなあ！,What a funny story!
彼はいい旦那さんになるわよ。,He'll become a good husband.
一晩ぐっすり眠ったほうがいい。,You need a good night's sleep.
オレンジはビタミンＣが豊富だ。,Oranges are rich in vitamin C.
学校は月曜日に始まります。,School will open on Monday.
トムはプールにおちた。,Tom fell into the pool.
彼は商用で東京へ行った。,He went to Tokyo on business.
今日は調子どう？,How do you feel today?
彼は回復する見込みがない。,He has no chance of recovering.
彼女はネコが大好きだ。,She adores cats.
トムはガンと闘っている。,Tom is battling cancer.
それ面白かった?,Was it interesting?
彼もそれを見た。,He also saw it.
あれは賢いやり方だったね。,That was a smart move.
彼女はウールの服を着ていた。,She was dressed in wool.
お土産は何買ったの？,What souvenirs did you buy?
今朝車中で偶然彼に会った。,I met him by chance on the train this morning.
明日が待ち遠しいよ。,I'm looking forward to tomorrow.
トムのことが頭から離れない。,I can't stop thinking about Tom.
彼女を元気付けるために病院に花束を送った。,We sent some flowers to the hospital to cheer her up.
今日は忙しい。,I'm busy today.
コーヒーはどうですか？,Do you want to have some coffee?
私は弱かった。,I was weak.
あの店の野菜はあまり新鮮そうじゃなかったね。,The vegetables at that store didn't look very fresh.
トムはとても速く泳ぐんだよ。,Tom swims very fast.
この教室はとても大きい。,This classroom is very large.
鶏口となるも牛後となるなかれ。,Better be the head of a cat than the tail of a lion.
私こんなにおそくまで外出歩いたことないわい。,I've never stayed out this late walking before.
頑張って、フランス語を勉強しているところです。,I'm working hard trying to learn French.
私はその鍵を探した。,I looked for the key.
彼女はヘロインを持っていることを認めた。,She admitted to having heroin.
私が勝ち！,I won!
私の手を噛んだのはあの犬だった。,It was that dog that bit my hand.
この上着はもう私の体に合わない。,This coat does not fit me any more.
申し訳ないけど、できません。,"I'm sorry, but it's impossible."
それは公平ではない。,That's not fair.
トムは丁寧にお辞儀をした。,Tom bowed politely.
成功して本当に良かったね。,I'm so glad that you succeeded.
ぼくはこの本を古本屋で見つけた。,I found this book in a secondhand bookstore.
彼らはすぐに仕事を始めた。,They set to work at once.
これしちゃうと、一生後悔するよ。,"If you do this, you'll regret it for the rest of your life."
トムは味にうるさい。,Tom has very particular tastes.
トムって、すごく優しいんだ。,Tom is very kind.
緊張しています。,I'm nervous.
あのツアー、キャンセル待ちの状態だって。,That tour already has a waiting list.
問題なのは私たちに十分な時間がないことだ。,The problem is that we don't have enough time.
君はそうすべきだった。,You should've done so.
また別の機会にお役に立てれば幸いです。,I hope that I'll be able to help you at some other time.
ワインをもっと冷やしたいんだ。,I want to chill the wine more.
私は彼に時計が欲しいかどうか聞いた。,I asked him if he wanted a watch.
観光事業が多数の新規雇用を創出した。,Tourism generated many new jobs.
お母さん、いつも迷惑ばかりかけてごめんなさい。,"Mom, I'm sorry for causing you trouble all the time."
都会では気付かれず通り過ぎることもあるだろうが、村の中ではそうはいかない。,"You may be able to pass unnoticed in a city, but in a village that's not possible."
トムはパソコンのプログラマーではないのですか？,Isn't Tom a computer programmer?
彼の意見に反対する人もいる。,Some object to his opinion.
私たちは長い間連絡を取っていませんでした。,We've been out of touch with each other for a long time.
なんてキレイな町なんだ！,What a beautiful town!
トムがどこにいるのか、正確には知らないよ。,I'm not exactly sure where Tom is.
彼はすぐ怒る。,He gets angry very easily.
体重を減らすのは簡単じゃないよ。,It isn't easy to lose weight.
トムって本当はシャイじゃなくない？,"Tom isn't really shy, is he?"
トムが勉強中だというのは知っていた。,I knew that Tom was studying.
私の部屋の中へ入ってこないで。,Don't come into my room.
彼女は彼に毎晩電話する。,She calls him every night.
どうして私にそれを聞くんですか？,Why do you ask me that?
トムは暖房をつけた。,Tom turned on the heater.
帰る時、声かけてね。一緒に帰ろう。,Let me know when you are leaving. We can go together.
あの人たち、私たちを見てる？,Are they looking at us?
道路を渡る時は車に注意しなさいよ。,Look out for cars when you cross the road.
うそを言ってはいけないよ。,Never tell lies.
金庫はどこ？,Where's the safe?
これは何かの詐欺なのでしょうか？,Is this some kind of scam?
彼女は和服の方が良く似合う。,She looks better in Japanese clothes.
お塩を取ってもらえませんか。,Please pass me the salt.
トムが私を覚えているなんて、信じられない。,I can't believe Tom remembers me.
車は持ってないんです。,I don't have a car.
寒いから、窓閉めてもいい？,I'm cold. May I close the window?
ここに自分の名前を書いてもらえますか？,Will you write your name here?
あの老人は誰ですか。,Who is that old man?
猫は犬より小さい。,Cats are smaller than dogs.
それ聞いて安心したよ。,I'm relieved to hear that.
トムはあなたが好きじゃないんだ。,Tom doesn't like you.
晴れそうだよ。,It looks like it'll be clearing up.
彼女はこれらの告発に対して自らを弁護するためにここへ来たわけではない。,She's not here for the purpose of defending herself against these accusations.
どうしてそれが要るの？,Why do you need it?
君は普通じゃないよ。,You're not normal.
あなたの親友の名前はなあに？,What's your best friend's name?
私の計画は失敗した。,My plan failed.
仕事の後で、一杯どう？,How about going out for a drink after work?
こんな寒い日に出かけるの？ やめといた方がいいんじゃない？,Are you really going out on such a cold day? I think you’d be better off not going out.
今出かけるのは無理だ。,It's impossible to go out now.
濃霧のため何一つ見えなかった。,"Because of the dense fog, nothing could be seen."
本の３０ページを開きなさい。,Open your books to page 30.
トムのお母さんは歌手だった。,Tom's mother used to be a singer.
たとえ雨が降っても私はそこへ行きます。,I will go there even if it rains.
彼女は３時に来ると私に約束した。,She promised me that she would come at three.
ドアの鍵、ちゃんとかけてね。,Make sure you lock the door.
テニスコートに行くの？,Are you going to the tennis court?
昨日はあまり寒くなかった。,It was not very cold yesterday.
トムはガールフレンドと別れた。,Tom broke up with his girlfriend.
フランス語は読めません。ましてや話すなんて。,"I can't read French, let alone speak it."
私は彼女と買い物に行かないときっぱり言った。,I told her once and for all that I would not go shopping with her.
私の名前の綴り間違えてるし。,You've misspelled my name.
トムの髪は俺のより長い。,Tom's hair is longer than mine.
私はまだ夕食をすませてない。,I haven't finished my supper yet.
わたしたち、寝過ごしちゃったみたい。,We overslept.
後でお電話いたします。,I'll phone you later.
彼は実際にアメリカに行ったことはない。,He hasn't actually been to America.
バスは急停車した。,The bus stopped suddenly.
この庭園は一般に開放されています。,This garden is open to the public.
彼女はその男を見たと証言した。,She testified that she saw the man.
米の値段が下がった。,The price of rice has come down.
トムはメアリーと同じくらい速く走れる。,Tom can run as fast as Mary.
不満はないよ。,I have no complaints.
あなたは運命を信じますか？,Do you believe in destiny?
彼は有能な技師です。,He is an able engineer.
できるだけ辛くしてください。,Make it as spicy as you can.
トムの言ったことは、理に適っていた。,What Tom said made sense.
林檎と梨、どっちが好き？,"Which do you like better, apples or pears?"
やめろ！,Stop that!
トムの家には大きな窓がある。,Tom's house has large windows.
私の友達に、自分の犬に苺を食べさせる人がいます。,I have a friend who feeds his dog strawberries.
枕を下さい。,Can I get a pillow?
朝晩、涼しくなってきましたね。,"It's getting cooler, particularly in the mornings and evenings."
私は中二で学校を退学した。,I dropped out of school when I was in the 7th grade.
実際には起こってないことです。,That didn't really happen.
期限までに仕事は仕上がりますか？,Can you get the work finished in time?
彼が引退を決意したことは私たちみんなを驚かせた。,His decision to retire surprised all of us.
トムは田舎暮らしに憧れてるんだ。,Tom is longing to live in the country.
彼は彼女のアドバイスを無視した。,He ignored her advice.
幽霊は存在する。,Ghosts exist.
雪はとけました。,The snow melted.
トムはゴルフ場を所有しているんですよ。,Tom owns a golf course.
彼は英語を話します。,He speaks English.
トムはお金持ちだが友達はあまりいない。,"Tom has a lot of money, but not very many friends."
アヒルに似てるの。,It's similar to a duck.
私が壊した。,I broke it.
メアリーがいなくなった今、トムはもっとハッピーになった。,"Now that Mary has left, Tom is happier."
時間があるときには、いつもクラシック音楽鑑賞を楽しんでいる。,I always enjoy listening to classical music when I have some free time.
彼がその秘密を知っているような気がする。,I have the impression that he knows the secret.
失礼にも程がある！,How rude of you!
何が起きたかもう警察に話しました。,I've already told the police what happened.
理論上はそれは可能だけれど実際にはとても難しい。,"In theory it is possible, but in practice it is very difficult."
この話は子供には複雑すぎる。,This story is too complex for children.
彼は鳥の飛び方を研究した。,He studied the flight of birds.
私は1500頭の牛を飼育している。,I have one thousand five hundred cows.
トムはあなたの国でよくある名前ですか？,Is Tom a common name in your country?
嘘をつくのが好きじゃないの。,I don't like to lie.
お皿は洗うから。,I'm going to wash the dishes.
トムなら一晩中、家にいたよ。,Tom was at home all night.
日本で一番高い山はどれですか。,Which is the highest mountain in Japan?
６ヶ月は、待つには長い時間だ。,Six months is a long time to wait.
指にとげが刺さって取れないんだ。,There's a thorn in my finger and I can't get it out.
男性の１人は青のスウェットシャツを着ていた。,One of the men was wearing a blue sweatshirt.
私は自分の過失を認めます。,I acknowledge my mistake.
僕が心配してるのはトムじゃなくて、メアリーのことなんだ。,"I'm not worried about you, Tom. I'm worried about Mary."
テストどうだった？,How was your test?
トムって彼女いるの？,Does Tom have a girlfriend?
その列車の乗客はほんの僅かしかいなかった。,There are only just a few passengers on that train.
池の深さは３メートルあります。,The pond is 3 meters deep.
象は巨大な動物である。,An elephant is an enormous animal.
彼が知っているかどうかは分からないな。,I don't know if he knows it.
涼しくてよかったです。,It was nice and cool there.
私は昼食がピザだったから、夕食はピザ以外にしてほしい。,"I had pizza for lunch, so I'd like to have something other than pizza for dinner."
テレビを見るのは楽しいよ。,It's fun to watch TV.
応募者にふさわしい職務遂行能力があるか？,Does the applicant have suitable abilities to carry out the job?
何か他のものを見せてください。,Show me some others.
トムは料理ができないよ。,Tom doesn't know how to cook.
怖がらなくてもいいよ。,You don't have to be scared.
彼はアメリカ人ですか。,Is he American?
胸がひどく痛みます。,I have a sharp pain in my chest.
昨日はありがとうございました。,Thank you for yesterday.
テレビのリモコンがソファーの下にある。,There is a TV remote control under the couch.
警察は強盗を逮捕した。,The policemen arrested the burglar.
この本を私に下さい。,Please give me this book.
バスで行った方が安くつく。,It is cheaper to go by bus.
あいにく明日は雨のようだね。,I'm afraid it'll rain tomorrow.
僕たちは叔父の家に泊まっています。,We are staying at our uncle's.
誰か話し相手が欲しいな。,I want somebody to talk with.
私は友達がいないことは不幸だと思う。,I think it's sad to not have any friends.
君が行かないなら、俺も行かないよ。,"If you aren't going, I'm not going either."
「年はいくつ？」「16歳です」,"How old are you? ""I'm 16 years old."""
父が帰宅する前に眠ってしまった。,I fell asleep before my father came home.
ゆうべはぐっすり眠れたよ。,I slept soundly last night.
トムは耳が聞こえない。,Tom's deaf.
私は現実的な人間だ。,I'm a realistic person.
トム、パスポートちょうだい。金庫にしまっとくから。,"Give me your passport, Tom. I'll keep it in my safe."
値下げした方がいいと思います。,I think that we should reduce the price.
素敵な話ですね。,That's a nice story.
どうやら、トムはメアリーのことが大好きだらしいよ。,"Apparently, Tom likes Mary quite a lot."
卵はどのように調理いたしましょうか。,How do you like your eggs done?
カフェテリアで働きたいのですが。,I'd like to work at the cafeteria.
フローズン・ヨーグルトが食べたくてしょうがないんだよ。,I'm dying for frozen yogurt.
そういうわけで彼は怒ったのだ。,That's why he got angry.
腹を立てると結局は損だ。,It never pays to lose your temper.
わざと間違えたんでしょ。,"You made the mistake on purpose, didn't you?"
夕食はお済みですか。,Have you finished dinner?
ちなみに、この部屋には冷房設備なんて物は何も無い。あるのはうちわだけ。,"Incidentally, this room doesn't have anything like an air conditioner. All it has is a hand-held paper fan."
何か見える？,Do you see something?
トムはその件のことはすっかり忘れたように見えるかもしれないが、心の奥底ではまだ深く傷ついている。,"It may seem like Tom has forgotten all about the matter, but deep down inside, he's still torn up about it."
先生は私に、できるだけたくさん本を読むようにとおっしゃった。,My teacher told me to read as much as I could.
なぜ彼らは怒っているの？,Why are they angry?
私たちの犬は車に轢かれかけた。,Our dog was nearly run over by a car.
まもなく彼がくるだろう。,It will not be long before he comes.
彼らはそれを私に与えた。,They gave it to me.
私は正直に話しています。,I'm an honest person.
彼の考えに賛成ですかそれとも反対ですか。,Are you for or against his idea?
どう、学校は？,How's it going at school?
彼は時間通りに来れなかった。,He failed to come on time.
勘定は私が持ちましょう。,I'll foot the bill.
彼らは給料のアップを求めた。,They asked for an increase of salary.
すてきな室内装飾になりましたよ。,You've done a wonderful job on the interior decoration.
それはどのようにして起こったのか。,How did it come about?
動かないで！,Hold it!
地面は濡れているようだ。,The ground seems wet.
私は彼といっしょに外出するよりはむしろ家にいたい。,I would rather stay home than go out with him.
どうしてトムはこのホテルが好きなの？,Why does Tom like this hotel?
トムは石鹸と水で手を洗いました。,Tom washed his hands with soap and water.
専門ガッコのタメだよ。,They're buddies from my technical school.
あれって、役に立った？,Was that helpful?
ちょうど出かけるところだ。,I'm about to leave.
客間には誰もいない。,The reception room is empty.
お子さんはいらっしゃいますか？,Do you have any children?
落ち着いてはじめから話してごらん。,Calm down and begin at the beginning.
トムは正直者なので好きだ。,"Since Tom is an honest person, I like him."
オムレツを作るには卵を割らなくてはならない。,You can't make an omelette without breaking eggs.
車を動かしてください。,"Move your car, please."
それでよろしい。,That'll do.
一人だ。,I'm alone.
継続は力なり。,Whatever doesn't kill us only makes us stronger.
忙しいので行けないの。,"I'm busy, so I can't go."
犬は忠実な動物です。,Dogs are faithful animals.
ご出身はどちらですか。,Where are you from?
気が付いてたら、あなたに教えてたでしょう。,"If I'd noticed, I would've told you."
トムは、夏はいっつも帽子を被ってるよ。,Tom always wears a hat in the summer.
一日に何回犬に餌をやればいいのですか？,How many times a day should I feed my dog?
子供たちは早く行こうと父親をせきたてた。,The kids urged their father to leave quickly.
今日はトムの誕生日じゃないよ。,Today isn't Tom's birthday.
遅くなって申し訳ありません。,I'm sorry for being late.
その修理に二千円ほどかかります。,"It'll cost about 2,000 yen to repair it."
彼は小説を書いている。,He is writing a novel.
時間があれば、映画を観に行くんだけどな。,"If I had time, I'd go to the movies."
トムはソファーに寝そべって、テレビを見てるよ。,"Tom is lying on the sofa, watching TV."
仕事に取りかかりましょうか。,"Let's get down to business, shall we?"
どの歯が痛むのですか。,Which tooth hurts?
私は牛乳が飲みたいな。,I like to drink milk.
雪のため彼は外出できなかった。,He couldn't go out because of the snow.
君の本籍地を教えて下さい。,Please give me your permanent address.
１２時４５分はどうでしょう？,How about 12:45?
行くつもりなの？,Are you going to go?
私のところでは６月にたくさん雨が降ります。,We have a lot of rain in June.
きみに付き合ってる人がいるとは知らなかった。,I didn't know you were seeing someone.
それしてみようよ。,Why don't we try that?
おばさんがバースデープレゼントを送ってきた。,My aunt sent me a birthday present.
お客様用の駐車場があります。,We have a parking lot for customers.
トムはメアリーのご近所さんだ。,Tom is one of Mary's neighbors.
口紅付けてるの？,Are you wearing lipstick?
君って、太ってるの？,Are you fat?
辛くない韓国料理が食べたい。,I want to eat some Korean food that isn't hot and spicy.
トムは祖父と祖母と一緒にボストンに住んでいる。,Tom lives in Boston with his grandparents.
私は一日に100ユーロ稼ぎます。,I make 100 euros per day.
フランス語と英語を習いたいな。,I want to learn French and English.
お飲み物はいかが？,Do you want something to drink?
全く悪いというわけではない。,That isn't altogether bad.
たぶん私たちって楽観的過ぎたね。,Maybe we were too optimistic.
トムは夏になるたびにボストンに来てたよな。,Tom used to come to Boston every summer.
よりを戻したい。,I want us to get back together.
彼は何とか授業に間に合った。,He managed to be on time for class.
太陽の照り返しが強い。,There's a lot of glare.
トムはムードメーカーだった。,Tom was the life of the party.
トムはチューリップが大好きです。,Tom loves tulips.
両方とも気に入ってるよ。,I like them both.
高校生がこのロボットを製作しました。,A high school student made this robot.
残念ですが、君と一緒にいけません。,I'm sorry I cannot go with you.
一部の住民が様子見の態度を取る一方で他の者は大洪水に備えた。,Some residents took a wait-and-see attitude while others prepared for heavy flooding.
自宅の住所をご記入ください。,Please write down your home address.
電話中なんですよ。,I'm on the phone.
彼は高給を取っている。,He gets a high salary.
私はフランス語と英語とドイツ語ができます。,"I know French, English, and German."
俺が帰る前に、先に寝てていいよ。,I don't mind if you go to bed before I get home.
トムなら日向ぼっこしてるよ。,Tom is basking in the sun.
トムはすでにそれをやっている。,Tom is already doing that.
私は毎晩風呂に入る。,I take a bath every night.
まかせてちょうだい。,Leave it up to me.
一人じゃないよ。トムと一緒にいるんだ。,I'm not alone. I'm with Tom.
波がそのボートを飲み込んでしまった。,The waves swallowed up the boat.
トムは明日きっとここにいるよ。,Tom will be here tomorrow for sure.
それを聞いてとても残念に思います。,I'm really sorry to hear that.
オーストラリアではよく地震が起きるの？,Do earthquakes happen often in Australia?
わかります。,I understand.
人が何と言おうとかまわないよ。,I don't care what people say.
借りたものは返してください。,Please return what you have borrowed.
申し訳ないけど、助けてあげられないんだ。,"I'm sorry, I can't help you."
トムはメアリーに死んで欲しくなかった。,Tom didn't want Mary to die.
彼は両親を見つけた。,He found his parents.
花瓶に赤いバラが入っている。,There is a red rose in the vase.
月には酸素がない。,There's no oxygen on the moon.
このブドウはとても酸っぱくて食べられない。,These grapes are so sour that I can't eat them.
彼は大学の外に住んでいる。,He lives off campus.
元気にしてた？,How have you been?
結局万事旨く行くだろう。,Everything will turn out for the best.
トムはちょっと楽観的過ぎると思う。,I think that Tom is a little too optimistic.
心配だわ。,I'm worried.
彼女は医者です。,She is a doctor.
私は財布を置き忘れた。,I left my purse behind.
俺たちが中学生の頃、トムって俺よりちょびっとチビだったんだ。,Tom was a bit shorter than I was when we were in junior high school.
それは十分ではありません。,That's not enough.
昨日の火事のこと聞きました？,Did you hear about yesterday's fire?
彼女は彼が誰だかすぐに分かった。,She recognized him immediately.
１１時の電車に乗ります。,I'm catching the 11:00 train.
彼は腕の力が強い。,He has powerful arms.
お噂はかねがね伺っております。,Your reputation precedes you.
僕はコンサルタントとして働いている。,I work as a consultant.
王子様はカエルに変えられてしまった。,The prince was changed into a frog.
はっきりした返事をください。,Please give me a definite answer.
彼女は昔羽振りが良かったに違いない。,She must have seen better days.
彼は相変わらずだ。,He is his usual self.
トムはメアリーのことをあきらめたのだと思っていました。,I thought Tom had gotten over Mary.
トムはボストンに行くの？,Is Tom going to Boston?
彼はどうしても彼女の話を信じる気にはなれなかった。,He could not bring himself to believe her story.
警察はその家を徹底的に捜索した。,The police thoroughly searched the house.
もう、泣きたいよ。,I feel like crying.
春が早めに来たよ。,Spring has arrived early.
靴はどこにありますか。,Where're the shoes?
私は風邪気味のようです。,I'm afraid I have a touch of a cold.
遅くなって申し訳ありません。,I'm sorry I'm late.
私は彼の感情を傷付けただろうか。,Did I hurt his feelings?
こんばんは。,Good evening.
彼女はすばらしい美しさを持った女性です。,She is a woman of great beauty.
トムは生涯独身を貫いた。,Tom remained single all his life.
なんでトムにお金をあげるの？,Why do you give Tom money?
トムに電話してみようよ。,Why don't we try calling Tom?
彼は場外にボールを飛ばした。,He hit the ball out of bounds.
男に生まれたかったってよく思う。,I often wish I'd been born a man.
彼は兄にそっくりだ。,He looks for all the world like his brother.
どんな症状がありますか。,What symptoms do you have?
先週、妻が子供を産みました。,My wife had a baby last week.
私は以前ユーフォーを見た事がある。,I have seen a UFO before.
兵隊が橋を見張っていた。,The soldiers were guarding the bridge.
僕ほど若くないんだから。,You're not as young as I am.
その時私は非番だった。,I was off duty at the time.
君がなくしていたお金が見つかって僕は嬉しい。,I'm glad that you found the money you lost.
トムは待つ必要があるかもね。,Tom may need to wait.
光るもの必ずしも金ならず。,All that glitters is not gold.
どっちが欲しいのか言ってよ。,Tell me which you want.
喉まで出かかってるんだけどね。,It is on the tip of my tongue.
そこで大きいのを捕まえたんだ。,We caught a large one there.
その国の経済状態は悪い。,The country is in a bad economic state.
ドアを開けておきなさい。,Keep the door open.
一人旅をしてるんですか？,Are you traveling by yourselves?
議長は彼のばかげた提案を拒絶した。,The chairman rejected his absurd proposal.
トムは何を着てもかっこいい。,"No matter what Tom wears, he looks cool."
トムは私を裏切った。,Tom has betrayed me.
このラケットはおいくらですか？,How much is this racket?
家に帰る途中、道に迷ってしまった。,I got lost on my way home.
手紙書いてね。,"Write me sometime, OK?"
彼は自殺しようとした。,He tried to kill himself.
バレーボールをしよう。,Let's play volleyball.
少年は成長し有名なミュージシャンになった。,The boy grew up to be a famous musician.
なんて謝ったらいいかなあ。,I don't know what to say.
彼女はいつも何かしら不平ばかりを言っている。,She is always complaining about something or other.
やきもちを焼くなよ。,You shouldn't be jealous.
トムは若い時、なかなかいい歌い手だったよ。,Tom was a pretty good singer when he was younger.
たくさんお金を儲けたい。,I want to earn a lot of money.
水がもったいないよ！,What a waste of water!
池には魚がたくさんいる。,There are a lot of fish in the pond.
彼は負傷して地面に倒れていた。,He lay injured on the ground.
お母さんが林檎を買ったよ。,Mom bought apples.
私は仕事を続けた。,I continued working.
私の古い友達だよ。,He's my old friend.
隣に住んでるのに、彼は私たちにあいさつさえしない。,"Even though he lives next door, he doesn't even say hello to us."
洗濯物入れてきて。,Bring the laundry in.
トムはベッドの下にいるんでしょ？,"Tom is under the bed, isn't he?"
ハワイのビーチはビッグウェーブで有名だよ。,The beaches in Hawaii are famous for their huge waves.
トムは忘れっぽい。,Tom is forgetful.
ここは、普段彼らが夕飯を食べる場所なんです。,Here's where they usually have dinner.
野外コンサートは嵐のために中止になった。,The outdoor concert was canceled due to the storm.
彼女はその箱を持ち上げようとしたが無理だった。,"She tried to lift the box, but found it impossible to do."
君の電話番号を忘れてしまった。,I forgot your phone number.
後で電話してもいい？,Can I call you later?
昨日の午後、トムと一緒にいた？,Were you with Tom yesterday afternoon?
また始まった。,There you go again.
彼は経済的に自立した。,He became financially independent.
トムがオーストラリア出身だって知らなかったの？,Didn't you know that Tom is from Australia?
日曜日は暇です。,I'm free on Sunday.
彼は委員会の委員長だ。,He's the chairman of the committee.
私は月末にコンピュータを息子にプレゼントするつもりです。,I plan to give my son a computer at the end of the month.
この瓶は空だよ。,This bottle is empty.
今夜トムに会った。,I met Tom tonight.
この新聞は只です。,This newspaper is free.
多くの女性がより高い教養とキャリアを追求し、それ故に結婚と出産を先延ばしにしている。,"Many women pursue higher education and careers, thus delaying marriage and childbirth."
トムは、うまくやってるの？,Is Tom successful?
彼女はかなり無知である。,She's rather clueless.
フランス語って、難しいよね？,"French is difficult, isn't it?"
このパン食べてもいい？,Can I eat this bread?
人ごみは大嫌い。,I hate it when there are a lot of people.
じゃあその時に。,See you then.
彼女は一目で娘が泣いていたとわかった。,She saw at a glance that her daughter had been crying.
私が拾った財布ね、トムのだったの。,The wallet I found was Tom's.
学生たちはみんな夏休みを楽しみに待っていた。,The students were all looking forward to the summer vacation.
どのようにして、この絵を入手したのですか？,How did you obtain this painting?
何でトムは家にいないんだろう。,I wonder why Tom isn't at home.
どのくらい日本にいるんですか。,How long have you been in Japan?
僕と一緒に出かけない？,Would you like to go out with me?
あの車のスピードには度肝を抜かれたよ。,I was amazed at the speed of the car.
予想通り、輸入品の価格が上昇した。,"As expected, the price of imported goods rose."
どっちの脚が痛むの？,Which leg hurts?
トムに諦める気はなかった。,Tom had no intention of giving up.
帰りに買い物してきてくれる？,Would you mind picking up something on the way back?
彼は禁煙を心に誓った。,He vowed to give up smoking.
私はうつぶせに寝た。,I slept on my stomach.
今日はトムに近づかない方がいいよ。,It'd be better to avoid Tom today.
トムは独占欲が強い。,Tom is possessive.
「塩を取っていただけませんか」「はい、どうぞ」,"Would you pass me the salt, please? ""Here you are."""
一番嫌いな食べ物は何ですか?,What's your least favorite food?
すみません、前通ります。,"Excuse me, I'm coming through."
誰もがほっとしたようだった。,Everyone looked relieved.
彼は、その仕事に適した男だ。,He is a good man for the job.
今日はとても暑い。,It is very hot today.
どうも趣味に合わないね。,It's not my cup of tea.
地震や洪水は天災です。,Earthquakes and floods are natural disasters.
そろそろ準備できてる？,Are you ready now?
話にならんわ。,That's out of the question.
なるほど。,I see.
車に乗って。,Get into the car.
ホテルの前に立っていた男性は、私にタクシーが必要かどうか尋ねた。,The man standing in front of the hotel asked me if I needed a taxi.
今、雪が降っている。,It is snowing now.
彼は既婚者で二人の子持ちだ。,He is married with two children.
トムはとても頭のいい子だ。,Tom is a very clever boy.
なぁ、金は無いかもしれないけどまだプライドは捨てちゃいないんだ。,"Hey, I may have no money, but I still have my pride."
これどうやって食べるんですか？,How should I eat this?
この川で泳いではいけない。,Swimming is not allowed in this river.
彼のわざとらしい話し方が嫌いだ。,I don't like his affected manner of speaking.
僕らがもう一度やるべきだという点では君に賛成。,I agree with you that we should try again.
寒かった？,Was it cold?
傘に入れてください。,Let me in under your umbrella.
彼女はラッセルスクエア５６番地に住んでいた。,She lived at 56 Russell Square.
この型の携帯電話はよく売れています。,This type of mobile phone sells well.
彼女は彼が遅刻したといって責めた。,She criticized him for being late.
じっとして！,Stand still!
意味がわからなかった。,I didn't catch the meaning.
水が欲しい。,I want some water.
ぜひまた遊びにきてください。,Do come and see us again.
こないだ貸した本返してほしいんだけど。,I want you to return the book I lent you the other day.
トムはもうメアリーのことを愛していない。,Tom no longer loves Mary.
トムはまた遅れている。,Tom is late again.
電話ありがとう。,I appreciate you calling me.
メアリーに一目惚れしてしまった。,I fell in love with Mary at first sight.
それは面白そうだ。,That sounds interesting.
トムは二度と遅刻しないと誓った。,Tom promised never to be late again.
この家には誰も住んでないよ。,No one lives in this house.
トムはね、それについて話すのが嫌なんだよ。,Tom doesn't like to talk about it.
私の今日があるのは、おじさんのおかげです。,I owe what I am today to my uncle.
このところ物価が安定している。,Prices are stable these days.
すみません、頭の回転が遅いもので。,"Sorry, but I'm a little slow-witted."
クリスマスが近づいてきた。,Christmas is approaching.
これで最後だよ。,This is the last time.
その時僕は子供だった。,I was a kid at that time.
叔母は英語だけでなく中国語も話します。,My aunt speaks Chinese as well as English.
残念ながらその通りです。,"That's right, unfortunately."
この帽子は私には小さすぎる。,This hat is too small for me.
三人兄弟なの？,Are you three brothers?
それって、君の自転車？,Is that your bicycle?
トムとメアリーはよくスカイプする。,Tom and Mary often talk to each other using Skype.
理論上、理論と実行の間には何の違いもないが、実際上違いはあるものだ。,"In theory, there is no difference between theory and practice. But, in practice, there is."
さっさと準備しなさい。,You must get ready quickly.
それがいつまで続くのか知らない。,I don't know how long it'll last.
彼は犬に骨をやった。,He gave the dog a bone.
トムは毎朝六時に朝ご飯を食べる。,Tom eats breakfast every morning at six o'clock.
トムに会いに来ました。,I came here to see Tom.
彼に頼むつもりはない。,I have no intention of asking him.
行くんじゃない。,Don't go.
この論文では、ドイツとオランダの民間伝承を比較する。,"In this paper, I compare the folklores of Germany and Holland."
指揮官は軍を率いて敵地に入った。,The commanding officer led his army into enemy territory.
彼らの計画については何も知らない。,I have no knowledge about their plans.
私は返答に窮した。,I was at a loss for an answer.
もし歴史上の人物に一人だけ会えるとしたら誰に会いたい？,"If you were only able to meet with one historical figure, who would you like to meet?"
彼は頭を岩にぶつけた。,He hit his head against a rock.
お元気ですか。,How are you?
前はピザを食べていましたけど、今は全くですね。,"I used to eat pizza, but now I don't."
お目にかかるのを楽しみにしていました。,I've been looking forward to meeting you.
同じような経験したことあるよ。,I've had a similar experience.
トムはシャツのボタンを縫い直した。,Tom sewed the button back on his shirt.
北極を発見した人はピアリーだと私たちは思っている。,We credit Peary with having discovered the North Pole.
彼は英語が話せますか。,Can he speak English?
そちらの営業所でどなたかフランス語を話されますか？,Does anyone in your office speak French?
昔は出版の自由などなかった。,There used to be no freedom of the press.
妹と動物園に行ってきたんだ。,I went to the zoo with my sister.
私は早く着きすぎた。,I arrived there too early.
誰が来たのかしら。,I wonder who has come.
