Japanese,English
側（平地）,side (plain area)
吉光女,Kikkonyo
衝鋒隊,Shohotai
名神祭,Myojin-sai festival
小倉駅,Ogura Station
石明神遺跡,the remains of Ishimyojin
西八条亭,Nishi hachijo tei
娼妓,a prostitute
目白,Mejiro
北小路通,Kita-koji Street
明円,Myoen(Meien)
細川光尚,Mitsunao HOSOKAWA
軍事氏族,military clan
元赤穂藩,the former Ako clan
支城,branch castles
射小手,ikote
勝手上り,ktte-nobori (righthand rise)
弾正尹親王東三条殿,"Prince Higashi-Sanjo, Danjonokami, Governor of the Impeachment Office"
歴博乙本,"Rekihaku ""B"" version"
箱根竹ノ下の戦い,the Battle of Hakone Take no Shita
多田神社（兵庫県川西市）,"Tada-jinja Shrine (Kawanishi City, Hyogo Prefecture)"
名鉄,Meitetsu
日本貨物鉄道,Japan Freight Railway Company
剪枝畸人,Senshi-Kijin (strange man cutting branches)
三重塔初重壁画,Hatsushige's painting on the wall of the three-storied pagoda
火鼠の裘,a robe made of the fire-rat
貞仁親王,Imperial Prince Sadahito
京大桂キャンパス,Kyodai Katsura Campus
元義,gengi
福島高晴,Takaharu FUKUSHIMA
框,kamachi
長秋卿,Choshukyo
賀茂別雷神社,Kamo Wakeikazuchi Jinja Shrine
浮舟物語,The Tale of Ukifune
愛加那,Aigana
奈良法師,Nara-hoshi
散位官,sani kan (an official ranked person without an officcial position)
福建・広東,"Canton, Fujian Province"
仁徳天皇,Emperor Nintoku
粥杖騒動,the commotion over the rice-gruel stick
東国経営,operation of Togoku (eastern part of Japan)
国立近代美術館京都分館,The Annex Museum of The National Museum of Modern Art in Kyoto
時忠,Tokitada
ドリア旋法,Dorian mode
風雅和歌集,Fuga Wakashu
かしの木台,Kashinokidai
併結,coupling of trainsets
藤原顕経,FUJIWARA no Akitsune
二個師団追加派遣,additional dispatch to two division
元子,Genshi
伴世継,TOMO no Yotsugi
日本発送電（株）,Japan Electric Generation and Transmission Company
龍の首の珠,a gemstone from a dragon's head
従四位上,ju shi i jo
組討(柔術),"Kumiuchi(Japanese traditional self-defense martial art, jujutsu)"
落語,rakugo
三浦義鏡,Yoshikane MIURA
柄巻き,tsuka-maki (string for hilt)
浄土教,Jodo (Pure Land) sect
東若御座神輿,Higashiwakagoza mikoshi (portable shrine for children of Higashigoza mikoshi)
南区役所,Minami Ward Office
銘・喜左衛門,an inscription of Kizaemon
官営工房,government craft center
落葉亭,Rakuyo-tei
平家の栄華,the glory of Taira family
安楽寺,Anraku-ji Temple
中品下生,chubon gesho
新光明寺,Shinkomyo-ji Temple
吉備国,Kibi Province
永邵女王,Princess Eisho
松が浦島,Matsugaura Island
禅智院,Zenchi-in Temple
北山北中通,Kitayama-kita-naka-dori Street
比叡山高等学校,Hieizan High School
半跏像,statue in a semi-lotus position
三重石塔,Sanju-sekito (three-story stone pagoda)
大内弘世,Hiroyo OUCHI
憲法改定,revision of the Constitution
元慶の乱,Gangyo War
略伝,brief biography
紫衣,purple Buddhist priest stole
時雨殿なび,Shigureden Navi (navigation)
慈音院,Jion-in
東京ディズニーリゾート,Tokyo Disney Resort
精華下狛料金所,Seika-shimokoma Tollbooth
絶海中津,Chushin ZEKKAI
藤原盛宗,FUJIWARA no Morimune
上方街道,Kamigata kaido
宗偏流茶道,"Sohen school, a school of tea ceremony"
六条坊門室町通,Rokujo Bomon Muromachi-dori
手事（てごと）もの,tegoto mono
古社寺保存法,Law for presering old temples and shrines
紙本墨画波濤図,"Hato Zu (Waves), sumi-e (ink painting), paper book"
カステラ,castella sponge cake
源兼信,MINAMOTO no Kanenobu
兵糧米,provisions of rice for the army
午年,year of the horse
日本旅行,"Nippon Travel Agency Co.,Ltd"
能書,nohsho 
藤井松平家の松平忠晴,Tadaharu MATSUDAIRA of the House of Fujii-Matsudaira
歴戦,experienced many campaigns
法海雲雷音如来,Hokaiun Raion Nyorai
京千家,the Kyosen family
商家,Shoka(mercantile house)
膳所駅,Zeze Station
建築界,the architecture world
メディア学科,"Department of Media, Journalism and Communications"
二十八種利益,twenty-eight benefits
称号,a title
新橋,Shinbashi
素盞嗚神社,Susano-Jinja Shrine
浅草寺,Senso-ji Temple
ナショナル劇場,The National Theatre
晴明神社,Seimei-jinja Shrine
若宮社歌合,Wakamiya-sha shrine waka competition
増支部,AGguttara-nikaaya
文化的遺産全般,cultural heritage general
京都府道38号京都広河原美山線（鞍馬街道）,Kyoto-hirogawara-miyamasen Kyoto Fudo 38  (Kyoto Prefecture Road 38) (Kurama-kaido)
脚色・演出,adapt and produce
日本銀行京都支店,"Bank of Japan, Kyoto Branch"
藤原尊子,FUJIWARA no Takako
七条大橋,Shichijo Ohashi
黒田如水,Jyosui KURODA
鵺,Nue
小町物,Komachimono
火の一族,Fire clan
御子左流,the Mikohidari school
義教,Yoshinori
首題,the opening phrase of a letter or notice
智頭急行智頭線,Chizu Express Chizu Line
十三代集,the thirteen imperial anthologies of Japanese poetry
寛正の大飢饉,Kansho famine
武蔵,Musashi
玉依比売命,Tamayorihime-no-mikoto
千鳥破風,chidori hafu
中国学科,Department of Chinese
中井正一,Masakazu NAKAI
知哲,Chitetsu
大吉山展望台,Daikichiyama Observatory
茶話指月集,Sawa Shigetsu shu (tea ceremony book)
藤原経子,FUJIWARA no Keishi
並河駅,Namikawa Station
清家文庫,the Seike libruary
乙訓坐火雷神,Okutoninimasu honoikazuchi
竹皮,peeled bamboo
義澄流,Yoshizumi group
木崎原,Kizakibaru
慈覚大師伝,Jikaku Daishi den / the biography of Jikaku Daishi
茶道界,tea ceremony world
頭巾山,Tokkin-zan Mountain
後京極摂政太政大臣良経（九条良経）,Gokyogoku Regent Grand Minister Yoshitsune (Yoshitsune KUJO)
長州藩三田尻,"Mitajiri, Choshu Domain"
母系制,matriliny
ヒルメ,Hirume
院評定制,In no hyojo sei (the council system supervised by the retired Emperor)
わさび醤油,soy source with Japanese horseradish
篆隷文体,tenrei style (ancient square style)
邦子内親王,Imperial Princess Kuniko
二ノ丸,Ninomaru (second bailey)
拇印,thumbprints
享保期,Kyoho era
宮内庁式部職楽部,Shikibushoku Gakubu (Music Department) of Imperial Household Agency
伏見下油掛,Fushimi-Shimoaburakake
足利義勝,Yoshikatsu ASHIKAGA
専順,Senjun
玄宥（尭性/ぎょうしょう、1529-1605）,Genyu (Gyosho 1529-1605)
ベストセラー,bestseller
賀殿,Katen music
山城権守,Yamashiro gonno-kami(Senior Provincial Governor of Yamashiro)
人丸駅,Hitomaru Station
薄雲御所,Usukumo-gosho
季瓊真蘂,Shinzui KIKEI
産経新聞舞鶴支局,Maizuru branch of the Sankei Shinbun
平知重,TAIRA no Tomoshige
三鷹市,Mitaka City
紀三井寺護国院,Kimii-dera Temple Gokoku-in
桶狭間の戦い,the Battle of Okehazama
源宥,MINAMOTO no Nadamu
東山月輪,Higashiyama Tsukinowa
高野口駅,Koyaguchi Station
川村純義,Sumiyoshi KAWAMURA
皇道派軍人,soldiers of Kodoha (the Imperial Way group)
理兵衛友以,Riemon Tomomochi
仁安元年,Ninnan-gannen (year of 1166)
冗談半分,in joke
赤染衛門,Akazome Emon
巡礼旅,religious pilgrimage
仏師院隆,"a sculptor of Buddhist statues, Inryu"
瓜生氏,the Uryu clan
栗毛,chestnut
阿波里浦,Awa-Satoura
虎寿丸,Torajumaru
竹殿北通,Takedonokita-dori Street
たくあんの煮たの,takuan-no-nitano (simmered pickled daikon radish)
大和日置流,Yamato-heki-ryu school
丹後由良駅,Tango-Yura Station
奥州藤原氏,Oshu Fujiwara clan
薬師堂,Yakushido
鎖国,"exclusion of foreigners, national isolation"
水軍訓練,trainings of navy
治水砂防協会,Japan Sabo Association
牡丹孔雀文堆朱盆,Botan Kujaku Tsuishu-bon
島津珍彦,Uzuhiko SHIMAZU
藤井駅,Fujii Station
喜撰山ダム,Kisenyama Dam
長岡京駅停留所,JR Nagaokakyo Station Bus Stop
源三位,Gen-zanmi
檀林寺,Danrin-ji Temple
与板,Yoita
源氏物語関屋及び澪標図,"""Genji Monogatari Sekiya Oyobi Miotsukushi-zu"" (Painting of the chapters Sekiya and Miotsukushi from The Tale of Genji)"
菅大臣天満宮,Kandaijin Tenman-gu Shrine
浄信寺,Joshin-ji Temple
備後国鞆の浦,Tomonoura in the Bingo Province
慶子（よしこ）,Yoshiko
金光教楽長尾原音人,"Otondo OHARA, master music section of Konkokyo sect"
今小路師冬,Morofuyu IMAKOJI
鳥居の扁額,a tablet of torii (anarchway to a Shinto shrine)
世継物語,Yotsugi Monogatari (The Tales of Yotsugi)
鳥飼の御牧,Torikai no Mimaki
祝園駅,Hosono Station
相馬藩,domain of Soma
籠神社,Kono Shrine
武蔵国守,Musashi no kuni no kami
染井霊園,Somei Reien
雨夜の品定め,appraising in a rainy night
藤原園人,FUNIWARA no Sonohito
薬師寺,Yakushi-ji Temple
木村友重,Tomoshige KIMURA
藤原呈子,FUJIWARA no Teishi
信円,Shinen
宇治御所,Uji ｇosho
今宮祭（京都市上京区 今宮神社 (京都市)）,"Imamiya Festival (Imamiya Jinja Shrine, Kamigyo Ward, Kyoto City)"
国体,fundamental character of the nation/national polity/national structure
弥右衛門家,the family of Yaemon
源爲義,MINAMOTO no Tameyoshi
河内国,Kawachi Province
上海市,Shanghai City
行草法帖,gyoshohojo
藤原中正,FUJIWARA no Nakamasa
斎院,Sai-in
国師,kokushi 
奥羽越列藩,Ouetsu-reppan
山階宮家,the Yamashinanomiya family
人体,the human body
宝楽園,Horakuen garden
グルメコーナー,gurume cona (food court)
本香包み,Honko-zutsumi (main incense package)
請鞠,ukemari
陰暦,the Chinese lunar calendar
景勝,picturesque scenery
比叡山功徳院,Hieizan Kodoku-in temple
旧丸太町通東入,former Marutamachi-dori higashi iru
藤原頼実,FUJIWARA no Yorizane
薩摩・大隅国・日向国の三州,"Three countries of Satsuma-no-kuni, Osumi-no-kuni and Hyuga-no-kuni"
監督,Director
裸婦像,a nude figure
本小路,Honkoji
本坊,honbo
大井戸渡,Oidowata
織田信則正室,Nobunori ODA's principal wife
社寺局,Bureau of shrines and temples
国鉄分割民営化,division and privatization of JNR
織田信為,Nobutame ODA
豪奢,luxury
花巻まつりの囃子方,musicians of Hanamaki festival
甲斐庄楠音,Tadaoto KAINOSHO
採物,torimono
中国・南宋時代,Chinese Southern Sung dynasty
関東地方統治,reign of Kanto region
留守参り,rusu-mairi (to visit a grave while the spirits are away)
浜田市,Hamada City
溝口宣知,Nobutomo MIZOGUCHI
隆忠,Tadataka
平将為,TAIRA no Masatame
祇子,Gishi
幡枝線,Hataeda Line
赤松満祐邸,Mitsusuke AKAMATSU's residence
鴨東線,Oto Line
足利義教,Yoshimasa ASHIKAGA
貞観殿,Joganden
床間,raised timber floor rooms
小橋の精霊船,Obase no Shorai-bune(Ship of souls)
三条公忠,Kintada SANJO
京都室町,Kyoto Muromachi
絵緯糸,"enuki-ito, figure weft"
三木一草,"Samboku-Isso (four meritorious retainers, Chikamitsu YUKI, Nagatoshi NAWA Hoki-no-kami, Masashige KUSUNOKI and Tadaki CHIGUSA)"
和宮様御留,Kazunomiya-sama Otome
治憲,Harunori
爵位,peerage
迦陵頻伽,Karyobinnga
福広聖,saint Fukuko
在中納言,Zai middle counsellor
奥羽線,Ou Line
若宮売神（わかみやめのかみ、トヨウケビメ）,Wakamiyame no kami who was supposed to be Toyouke bime)
大山崎JCT,Oyamazaki Junction
筑波山,Mt. Tsukuba
寛政の改革,Kansei Reform
那須太郎,NASU no Taro
金銅装笈,Kondo Soai
大和守護,the Governor of Yamato Province
上杉景勝,Kagekatsu UESUGI
疎開,evacuation
慶徳山長保寺,"Choho-ji Temple, Keitoku-san"
治承・寿永の源平合戦,Genpei war in Jisho-Jyuei era
大斎院御集,Daisaiin no gyoshu
藤原倫寧,FUJIWARA no Tomoyasu
現存流布本,Currently circulated edition
小殿(おて）親王,Imperial Prince Ote
浄土学専攻,Jodo Buddhism Program
小根占,Konejime
松花堂書院（京都府登録文化財）,Shokodo-shoin (an traditional architecture: cultural property registered by Kyoto Prefecture)
土屋,Tsuchinoya
血統,blood line
飛び柄,juxtaposition pattern
元直,Motonao
巻き軸,a roller
下天津駅,Shimoamazu Station
神明宮,Jinmei-gu shrine
鳥の子紙,torinoko paper
白長弁財天社,"Shironaga benzaiten sha, Shironaga benzaiten no yashiro"
弓道要則,Kyudo-yosoku (basic arts of shooting an arrow)
十住毘婆沙論,Jujubibasharon
上位,higher rank
亀岡店,Kameoka store
浅野家,the Asano family
仙台,Sendai
執政体制,government system
鬼子,changeling
抹茶塩,Maccha salt
厄除・延命長寿の神,the god for protect against evil and longevity
真里谷城,Mariyatsu Castle
我が信念,Waga Shinnen (My Faith)
須須保利,suzuhori
長州征討第一次,the first conquest of Choshu Domain
七世沢庵宗彭,Soho TAKUAN the seventh
加古川,Kako-gawa River
長生比丘尼像,Chosei Bikuni zo
芝家,the Shiba family
田沼意次,Okitsugu TANUMA
伊東甲子太郎,Kashitaro ITO
證空,Shoku
臨済義玄,Gigen RINZAI
御前沙汰衆,Gozensatashu
京都教育大学附属桃山中学校,Momoyama Junior High School Attached to Kyoto University of Education
菅一族,Kan family
閑院宮,Kaninnomiya
ドイツ文学,German Literature
宮道列子,MIYAJI no Resshi
阿弥陀仏,Amida Buddha
菅田天神社,Kandaten-jinja shrine
空間構成,space composition
平 登子,TAIRA no Nariko
平清経,TAIRA no Kiyotsune
御所ダム,Gosho Dam
勅使代,the acting Imperial delegate
札幌市中央区,"Chuo Ward, Sapporo City"
春陽花,Shunyoka
後柏原天皇筆,written by Emperor Gokashiwabara
後身,a later self
鬼物,Oni Mono
洛西嵯峨,Rakuseisaga
びわこ栗東駅,Biwako Ritto Station
恵隆寺,Eryu-ji Temple
近畿,Kinki
拠点,a foothold
日独友好議員連盟,Parliamentary Association for the Friendship between Japan and Germany
芸者玉八（小林菊子）,Geisha Tamahachi (Kikuko KOBAYASHI)
花遊小路,Kayu-koji Street
阪急100形電車,Hankyu Train Model 100
誓状,seijo
佐倉市,Sakura City
竹雀虎金物,"Take Suzume Tora Kanamono (bamboo, sparrow and tiger ironmongery goods)"
辛子,mustard
横,in width (wide)
塔頭寺院,tatchu temples 
八幡市駅,Yawatashi Station
シラカンバ,a white birch (a silver birch)
赤松家,the Akamatsu family
観世銕之丞家,Tetsunojo KANZE
普賢谷,Fugendani
円山応挙,Okyo MARUYAMA
乞巧奠（きっこうてん、七夕）,the Tanabata Star Festival (the festival of the Weaver)
日本板硝子舞鶴事業所,"Maizuru Office, NSG"
和泉式部日記,Izumi Shikibu's Diary
設営,set up (construct)
有馬晴信,Harunobu ARIMA
仏教,Bhuddism
スナック,snack bar
江戸城障壁画,wall painting at Edo Castle
引付頭,"Hikitsukegashira (head of Hikitsukeshu, a judicial organ)"
高松塚古墳,Takamatsuzuka Tomb
不受不施日蓮講門宗,Fujufuse Nichiren Komon sect
官職任免,appointment and dismissal of the government post
大谷光瑩,Koei OTANI
内宮,Naiku
近江神宮,Omi-jingu Shrine
松皮肌,matukawahada
伊藤英明,Hideaki ITO
細川興秋,Okiaki HOSOKAWA
扈従,kosho
後宇治殿,Nochinouji dono
小倉三省,Sansei OGURA
伊那谷,Inadani
足柄下郡,Ashigarashimo-gun
御溝水の落ち口,Mikawamizu no ochiguchi
仏教声明,Buddhism Shomyo
天下一品,Tenka-ippin (second to none)
菟野讃良皇后,Uno no Sarara no Himemiko
幼児,infant
佐原義連,Yoshitsura SAHARA
近衛信輔,Nousuke KONOE
寺子屋,Terakoya
白川口,Shirakawa-guchi
千田是也,Koreya SENDA
京阪電気鉄道京阪本線：伏見稲荷駅,"Keihan Electric Railway Co.,Ltd. - Keihan-Honsen (main route), Fushimi Inari station"
一心三観,Isshin-sangan Tendai-shu sect's Contemplation
白村江の戦,Battle of Hakusonko (Battle of Baekgang)
樹下仙人図,picture of a hermit under a tree
後伏見,Gofushimi
柳の間,willow room
モンゴル式,Mongol form
芸妓,geisha girl
講（在家信者）集団,Religious association of lay believers
エリザベス女王杯,Queen Elizabeth II Commemorative Cup
島崎勇,Isami SHIMAZAKI
美人画,"Bijinga (""Beautiful Woman Picture"")"
加茂川,Kamogawa River
近畿自動車道,Kinki Jidoshado Expressway
皇家,the Imperial families
浄瑠璃寺,Joruri-ji Temple
舞,mai 
後水尾法王,the monk-Emperor Gomizunoo
如意輪観音像,a painting of Nyoirin Kannon statue
佐,suke
丹後介,Tango no suke (Assistant Governor of Tango Provicne)
如来二種回向文,Nyorai Nishu Eko-mon
深大寺,Jindai-ji Temple
中世日本,medieval Japan
南殿跡,the sites of Nanden (the southern sanctuary)
京都府道外環状線,Kyoto Prefecture Road Outer Beltway
従,ju
協奏曲,a concerto
佐伯連,SAEKI no Muraji
上賀茂神社地区,Kamigamojinja Area
神輿渡御,mikoshi togyo (parade of mikoshi (portable shrine) and priests for the divine spirits in the portable shrine moving to other places from the main shrine)
実慧（じちえ）,Jichie
京都府道40号下鴨静原大原線,Shimogamo-shizuhara-oharasen Kyoto Fudo 40 (Kyoto Prefecture Road 40)
直参,jikisan 
玉澗,Gyokukan
九朗大夫判官,Kurodayu hogan
二条新御所,Nijo shingosho
薬学者,a pharmacologist
飛来山,Hiraisan
保井,Yasui
与津子,Yotsuko
丈六,sixteen-shaku (shaku= about 30.3cm)
光文社,"Kobunsha Co., Ltd."
高山寺鎮守,village shrine at Kozanji / Kozanji chinju
光聚院宮,Kojuin no miya
カペー朝,the Capetian Dynasty
近世以降,after the early-modern times
祇園新橋,Gion-shinbashi
讃岐,Sanuki
波著寺,Namitsuki-dera Temple
珣子内親王,Imperial Princess Junshi
峻烈無比,severe and unparalleled
平塚為広,Tamehiro HIRATSUKA
源太丸,Gentamaru
イギリス女王,Queen of England
野暮,yabo
北の方,Kita no kata
京都中立売通,"Nakadachiuri-dori street, Kyoto"
鳥羽上皇,the Retired Emperor Toba
邪馬台国,Yamatai-Koku kingdom
ラージギル,Rajgir
瀬田東,Seta-higashi
京田辺市立松井ヶ丘小学校,Kyotanabe City-run Matsuigaoka Elementary School
浴龍池（よくりゅうち）,Yokuryu-chi Pond
親元日記,Chikamoto Nikki (Chikamoto's diary)
本郷,Hongo
享禄,Kyoroku era
品川高久,Takahisa SHINAGAWA
祇園別当目代,"Gion Betto-mokudai, assistant of the chief abbot of Gion"
岩本村,Iwamoto village
花まつり,flower festival
次期皇位継承者,the next heir to the Imperial Throne
宮津警察署,Miyazu Police Station
北条氏重,Ujishige HOJO
神代小路,Kojirokouji
偐紫田舎源氏,Nise Murasaki Inaka Genji (The tale of Genji in Muromachi era)
菅家廊下,Kanke Roka (name of the school)
龍造寺氏,Ryuzoji clan
勝手,katte (a place used to cook and prepare food in upper class residences)
滑川町,Namegawa-machi
エルヴィン・フォン・ベルツ,Erwin von Bälz
義経,Yoshitsune
槇島村,Makishima-mura
十住心論,Jujushinron
バカガイ,surf clam
若松通,Wakamatsu-dori Street
京都藏經書院,Kyoto Zokyo Shoin
安養寺,Anyo-ji Temple
源順子,MINAMOTO no Junshi
河内説,Kawachi theory
水尾川,Mizuo-gawa River
弘法大師降誕会,Kotanne of Kobodaishi
高崎扇,Takasaki-ogi crest
大山崎集落,a village of Oyamazaki
源幸子（敷政門院）,MINAMOTO no Yukiko (Fuseimonin)
土佐南学派,Tosa-Nangakuha
九州大学附属図書館細川文庫,"Hosokawa bunko, belonging to Kyushu University Library"
梅小路公園,Umekoji-koen Park
亮政,Sukemasa
泥間似合紙,doro maniai-shi 
九里半越,Kurihangoe
発心門,Hosshin-mon gate
国家護持,kokka goji (defending and maintaining the nation)
黄龍閣（大庫裏）,Oryokaku (Ookuri)
弦,string
花山院殿上法師戒秀,"Kaishu, Palace priest of Kazanin"
紀元二千六百年記念行事,"a commemorative ceremony for the 2,600th year of the founding of Japan"
主催,sponsor
開化天皇,Emperor Kaika
妻妾,wives and concubines
パニャマルカ,Pañamarca
天文,Tenbun era
シマハッカン,siamese fireback pheasant
立野正一,Shoichi TATENO
路豊永,MICHI no Toyonaga
天龍寺,Tenryu-ji Temple
三尾,Sanbi
漢字,kanji (Chinese characters)
老女物,Rojo mono
正月堂（弥勒磨崖仏の礼堂）,Shogatsu-do hall
正親町上皇,the Retired Emperor Ogimachi
ファミリーマート京都産業大学店,FamilyMart Kyoto Sangyo-daigakuten
関門海峡,Kanmon-kaikyo Strait
越後口大参謀,Echigo-guchi Senior Staff
蕨手刀（彎曲刀）,warabite-to (curved sword)
伏見上皇,the Retired Emperor Fushimi
壬生義士伝,Mibu Gishi Den
経緯（たてよこの糸）,keii (length and breadth threads)
日本紀略,Nihongi Ryaku
若槻広隆,Hirotaka WAKATSUKI
維摩経,Yuimagyo (Vimalakirti Sutra)
別業,betsugyo 
日韓地方自治研究センター,Center for Japan-Korea Local Governance Study Center for Japan-Korea Local Governance Study
障子紙,shoji paper
造立銘,inscription of building a temple
天王殿,Tennoden hall
崇徳 (天皇),Emperor Sutoku
ヤブイヌ,bush dog
那波常有（なわじょうゆう）,Joyu NAWA
白河結城,SHIRAKAWA (the Yuki clan)
源実朝,MINAMOTO no Sanetomo
長門守護代,Shugodai (the acting Military Governor) of Nagato Province
遠縁,distantly-related
高槻バスストップ,Takatsuki Bus stop
極官,kyokkan (the most highest rank which one was appointed)
鬘掛（かつらかけ）地蔵,Katsurakake (wearing wig) Ksitigarbha
守護社,a guardian shrine
経ヶ岬灯台,Kyoga-misaki lighthouse
和漢混交文,mixed writing of Japanese and Chinese
事代主命,Kotoshironushi no mikoto
橘朝臣入居,TACHIBANA no Asomi Irii
善成王,Yoshinari-o/Prince Yoshinari
中の町,Naka no Cho
延昌,Ensho
御油宿（愛知県豊川市）,Goyu-shuku Station (Yoyokawa City Aichi Prefecture)
日本橋の聖天さん,Nihonbashi-no-Shoten-san
嵐山電車軌道,Arashiyama Denki Kido
清々講社,Seisei kosha (organization of Ujiko (shrine parishioners) of Yasaka-jinja shrine)
良持,Yoshimochi
臼,mill-stone
内蔵権助,uchikura-gonnosuke
浮見,"ukimi (literally, something that looks as if it were floating on a water surface)"
王朝国家,a dynastic nation-state
寿都湾西口,west side of the Suttsu bay
精華下狛IC,Seika-shimokoma Interchange
銭司村,Zezu-mura
ウィーン大学,University of Vienna
六角亀寿,Kameju ROKKAKU
宇治線,Uji Line
筋切り,Sujikiri (to cut muscle)
間部詮房,Akifusa MANABE
蜻蛉日記,Kagero Diary (The Gossamer Years)
福光,Fukumitsu
方丈建築様式,Hojo architectural style
移封,changing the territory
神人合一,shinjin goitsu (god-man unity)
曼荼羅,Mandala
小川家住宅（通称「二条陣屋」,"the Ogawa family home (aka. ""Nijo-jin'ya"""
開創600年記念事業,commemorative project for 600 years anniversary of the foundation
川西,Kawanishi
長岡,Nagaoka
三百年忌,the 300th year anniversary of (his) death
夥しい数の石仏・石塔,large number of stone Buddha image and stone pagoda
黄粉,soybean flour
豆桐,mamegiri (small paulownia)
手斧始,Chonahajime
英利,Fusatoshi
狂言堂,Kyogen-do Hall
東莱府,Toraifu
家蔵,family collection
新快速,Special Rapid
百錬抄,Hyakuren sho
高倉永相,Nagasuke TAKAKURA
紫竹通角,Shichiku-dori Kado (corner of Shichiku-dori)
卒去,shukkyo
南座,Minami-za Theater
若狭町上黒田,Kami-kuroda Wakasa-cho
ジェラルド・R・フォード,Gerald Rudolph FORD
後深草,Gofukakusa
賞勲局総裁,President of Decoration Bureau
鈴鹿関,Suzuka-no-seki Checkpoint
大政翼賛会,Taisei-Yokusankai (Imperial Rule Assistance Association)
軍荼利明王,Gundari Myoo
上奏表,the statement to the Emperor
広橋兼秀,Kanehide HIROHASHI
田能村直入,Chokunyu TANOMURA
アプリケーションサービスプロバイダ製作,manufacture of application service provider
普賢延命菩薩,Fugen Enmei Bosatsu
右大臣顕光,"Akimitsu, Udaijin (Minister of the Right)"
高田村,Takada-mura
染殿后藤原明子,Somedono-no-Kisaki FUJIWARA no Akirakeiko
和歌色葉,Waka Iroha
青山助十郎,Sukejuro AOYAMA
小像,small statues
安田義定,Yoshisada YASUDA
黒幕,wire puller
武家礼法,manners of samurai family
上坂信光,Nobumitsu KAMISAKA
鼈甲,tortoise shell
長岡大和 (百貨店),Nagaoka Daiwa (department store)
山越,Yamagoe
世尊寺行経,Yukitsune SESONJI
大石忌,OISHI-ki
田辺金忠,TANABE no Kanetada
京阪墨染駅,Keihan Sumizome Station
市坂,Ichisaka
観音,Deity of Mercy
大和絵,Yamato-e painting (a traditional Japanese style painting of the late Heian and Kamakura periods dealing with Japanese themes)
聖護院宮道祐親王,Shogoin no miya Prince Doyu
今出川駅,Imadegawa Station
天命,the will of heaven
藤原清貫,FUJIWARA no Kiyotsura
蟹殿（かにどん）,KANIDON
羽織ヤクザ,haori yakuza
一乗谷,Ichijodani
カラセンスヰ,karasensui (karesansuwi)
宮殿風建築,architecture in a palace style
吹田信号場,Suita signal station
師事,study
貴族勢力,nobles
笛田,Fueda
徳永,TOKUNAGA
清寧天皇,Emperor Seinei
浅田賢介,ASADA Kensuke
白雲寺,Hakuun-ji Temple
パラディオ橋,Palladio-bashi Bridge
千里丘陵,Senri Hills
深川駅,Fukawa Station
光源氏物語,The Tale of Hikaru Genji
承明門院・源在子,Shomeimon in MINAMOTO no Zaishi
弘済国師,Kosai kokushi
丿貫,Hechikan (Bechikan)
与十郎長信,Yojuro Naganobu
神護寺,Jingo-ji Temple
伊賀鉄道伊賀線,Iga Railway Iga Line
善導大師厨子扉,doors of Zushi of Zendo-taishi
大日本帝国陸軍,Imperial Japanese Army (IJA)
多々良浜の戦い,the battle of Tatarahama
東京海上日動火災保険奈良支社,Tokio Marine & Nichido Fire Insurance Nara Branch
紫式部の邸宅跡,the site of residence of Shikibu MURASAKI
縁日＠京都学生祭典,hopping at Kyoto Student Festival
吉田経藤,Tsunefuji YOSHIDA
旧逸見勘兵衛家,Old House of Kanbe HENMI
鹿島伯爵家,the family of Count Kashima
綾部宮津道路,Ayabe Miyazu Road
承和昌宝,Jowa-shoho
香淳皇后,Empress Kojun
沢庵,takuan (pickled radish)
大阪高速鉄道大阪モノレール線,Osaka Monorail Line
江若交通,"Kojak bus co.,ltd."
明治宮殿,Meiji-kyuden Palace
服部武雄,Takeo HATTORI
日本国憲法,the Constitution of Japan
河村真六,Shinroku KAWAMURA
松平忠周,Tadachika MATSUDAIRA
千歳,Chitose
佐竹義宣,Yoshinobu SATAKE
初代当主,the first family head
新京極公園,Shinkyogoku Koen Park
西竹の里町,Nishitakenosatocho
枚方東,Hirakata Higashi
現在七面,Genzai shichimen
有力領主,leading local lords
鷹司信平,Nobuhira TAKATSUKASA
天冠,tenkan
源義家,MINAMOTO no Yoshiie
時代劇,period drama
如空,Nyoku
カワウ,a common cormorant
大宝神社,Daiho Jinja Shrine
人形（ひとかた、ひとがた）,hitokata/hitogata
五箇村,Goka-mura
本寺,main temple
紋障子,mon-shoji (shoji covered with watermarked paper)
札ノ辻,Fudanotsuji
胆沢城,Isawa-jo Castle
梨子地肌,nashijihada
尊治,Takauji
上奏文,report to the throne
明治十年内国勧業博覧会出品解説,The explanations for the exhibits of the domestic industrial exposition 1877
周山郵便局,Shuzan Post Office
プリンスホテル,Prince Hotel
南朝 (日本)復興,the Restoration of the Southern Court (Nancho)
林庭珪,Tinggui LIN
千葉輔胤,Suketane CHIBA
控えの間,Hika no ma
守護国家論,Shugo Kokka-ron
為孝,Tametaka
早川・福井,"Hayakawa, Fukui"
大阪府立中之島図書館,Osaka Prefectural Nakanoshima Library
源義経(牛若丸・遮那王),"MINAMOTO no Yoshitsune (Ushiwaka maru, Rushanao)"
ケーブル比叡駅,Cable Hiei Station
野々村宗達,Sotatsu NONOMURA
熾仁親王,Prince Taruhito
伝周文筆,A painting attributed to Shubun
白河口の戦い,the Battle of Shirakawaguchi
